epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,28234.1,0.97103,0.40808,1.02859,0.85661,0.7972,0.84533,0.47046,1.3725,0.66249,1.08176,0.0016675,0.0016675,0.0016675
103,28487.7,0.96877,0.40968,1.02671,0.85502,0.79784,0.84474,0.47044,1.37259,0.66193,1.08144,0.001585,0.001585,0.001585
104,28741.9,0.9653,0.40832,1.02744,0.85589,0.79911,0.8475,0.47111,1.37334,0.66181,1.08148,0.0015025,0.0015025,0.0015025
105,28996.6,0.96222,0.40359,1.02726,0.85655,0.80102,0.85086,0.47167,1.37324,0.6613,1.08148,0.00142,0.00142,0.00142
106,29249.9,0.95936,0.40337,1.02607,0.85509,0.80038,0.84996,0.4709,1.37312,0.66032,1.08125,0.0013375,0.0013375,0.0013375
107,29504.3,0.95882,0.4012,1.02307,0.85583,0.80004,0.84894,0.47154,1.37326,0.6593,1.08179,0.001255,0.001255,0.001255
108,29758.8,0.95137,0.40087,1.02126,0.85471,0.80102,0.84923,0.47144,1.37396,0.65904,1.08188,0.0011725,0.0011725,0.0011725
109,30013,0.95456,0.39921,1.01959,0.85698,0.79993,0.84902,0.47158,1.37443,0.65822,1.08193,0.00109,0.00109,0.00109
110,30267.6,0.94586,0.39338,1.01981,0.86013,0.79339,0.84814,0.47136,1.37521,0.65783,1.08207,0.0010075,0.0010075,0.0010075
111,30543.3,0.92535,0.35421,1.03054,0.86082,0.79402,0.84478,0.47168,1.37519,0.65625,1.08199,0.000925,0.000925,0.000925
112,30796.9,0.91471,0.34869,1.02875,0.86091,0.79484,0.84558,0.47204,1.37552,0.65609,1.08244,0.0008425,0.0008425,0.0008425
113,31049.7,0.91057,0.34591,1.02459,0.85852,0.79855,0.84589,0.47166,1.37669,0.65554,1.08345,0.00076,0.00076,0.00076
114,31302.9,0.90442,0.34358,1.02237,0.85784,0.79657,0.84547,0.47145,1.37704,0.6551,1.08384,0.0006775,0.0006775,0.0006775
115,31556.6,0.89739,0.34017,1.01886,0.85875,0.79621,0.84733,0.47168,1.37731,0.65412,1.08399,0.000595,0.000595,0.000595
116,31809.9,0.89427,0.33793,1.01741,0.85899,0.7953,0.8451,0.47093,1.37773,0.65352,1.08391,0.0005125,0.0005125,0.0005125
117,32063.8,0.88885,0.33825,1.01488,0.85765,0.79669,0.84508,0.4714,1.37693,0.6551,1.08382,0.00043,0.00043,0.00043
118,32317.5,0.8838,0.33445,1.01339,0.8579,0.79833,0.84427,0.47105,1.37855,0.65548,1.08415,0.0003475,0.0003475,0.0003475
119,32570.7,0.87819,0.33188,1.01155,0.85736,0.79864,0.84424,0.47155,1.37927,0.65537,1.08437,0.000265,0.000265,0.000265
120,32823.4,0.87633,0.33072,1.01007,0.85558,0.79975,0.84365,0.47156,1.37926,0.65508,1.08435,0.0001825,0.0001825,0.0001825
